# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
二十碳四烯酸	er shi tan si xi suan	33
二咖啡酰奎尼酸	er ka fei xian kui ni suan	3
二尖瓣关闭不全	er jian ban guan bi bu quan	3
二尖瓣成形术	er jian ban cheng xing shu	4
二尖瓣狭窄	er jian ban xia zhai	11
二尖瓣球囊扩张术	er jian ban qiu nang kuo zhang shu	1
二尖瓣置换术	er jian ban zhi huan shu	5
二尖瓣脱垂	er jian ban tuo chui	5
二尖瓣返流	er jian ban fan liu	4
二巯丁二酸	er qiu ding er suan	1
二巯丙磺钠注射液	er qiu bing huang na zhu she ye	2
二巯基丙磺酸钠	er qiu ji bing huang suan na	2
二异丙胺	er yi bing an	10
二异氰酸甲苯酯	er yi qing suan jia ben zhi	1
二期梅毒	er qi mei du	6
二期缝合	er qi feng he	4
二次感染	er ci gan ran	27
二次结构	er ci jie gou	2
二母宁嗽丸	er mu ning sou wan	3
二母宁嗽片	er mu ning sou pian	3
二母清肺丸	er mu qing fei wan	2
二氢吡啶	er qing bi ding	38
