# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
金刚胶囊	jin gang jiao nang	3
金刚藤胶囊	jin gang teng jiao nang	3
金刚藤软胶囊	jin gang teng ruan jiao nang	2
金刺参九正合剂	jin ci can jiu zheng he ji	3
金匮肾气丸	jin kui shen qi wan	4
金喉健喷雾剂	jin hou jian pen wu ji	3
金嗓子喉宝	jin sang zi hou bao	3
金嗓子喉片	jin sang zi hou pian	2
金嗓散结丸	jin sang san jie wan	2
金复康口服液	jin fu kang kou fu ye	2
金奥康	jin ao kang	2
金属支架	jin shu zhi jia	39
金属烟热	jin shu yan re	1
金属络合剂	jin shu luo he ji	2
金属酶	jin shu mei	22
金属陶瓷	jin shu tao ci	17
金振口服液	jin zhen kou fu ye	3
金日牌西洋参含片	jin ri pai xi yang shen han pian	2
金明渊	jin ming yuan	4
金果榄	jin guo lan	5
金栀洁龈含漱液	jin zhi jie yin han shu ye	2
金梅清暑颗粒	jin mei qing shu ke li	3
金樱	jin ying	3
金樱子	jin ying zi	15
金樱根	jin ying gen	4
金樱首乌汁	jin ying shou wu zhi	5
金橘叶	jin ju ye	2
金水宝片	jin shui bao pian	4
金水宝胶囊	jin shui bao jiao nang	5
金泽冠心胶囊	jin ze guan xin jiao nang	3
金津	jin jin	7
金牛眼药	jin niu yan yao	2
金盏银盘	jin zhan yin pan	3
金石斛	jin shi hu	21
金线莲	jin xian lian	31
金缨子	jin ying zi	3
金羚感冒片	jin ling gan mao pian	3
金胃泰胶囊	jin wei tai jiao nang	2
金芪降糖胶囊	jin qi jiang tang jiao nang	3
金芪降糖颗粒	jin qi jiang tang ke li	2
金花明目丸	jin hua ming mu wan	2
金荞麦	jin qiao mai	10
金荞麦片	jin qiao mai pian	4
金莲清热泡腾片	jin lian qing re pao teng pian	5
金莲清热颗粒	jin lian qing re ke li	3
金莲花胶囊	jin lian hua jiao nang	3
金莲花软胶囊	jin lian hua ruan jiao nang	3
金菌灵胶囊	jin jun ling jiao nang	2
金葡素注射液	jin pu su zhu she ye	3
金观源	jin guan yuan	1
金诺芬	jin nuo fen	1
金贝痰咳清颗粒	jin bei tan ke qing ke li	4
金达克宁	jin da ke ning	2
金钱草	jin qian cao	28
金铁锁	jin tie suo	7
金铃子散	jin ling zi san	1
金银花口服液	jin yin hua kou fu ye	2
金银花含片	jin yin hua han pian	3
金银花露	jin yin hua lu	1
金银花颗粒	jin yin hua ke li	3
金锁固精丸	jin suo gu jing wan	3
金防感冒颗粒	jin fang gan mao ke li	3
金雀花碱	jin que hua jian	2
金霉素眼膏	jin mei su yan gao	6
金霉素软膏	jin mei su ruan gao	3
金骨莲胶囊	jin gu lian jiao nang	4
金鸡片	jin ji pian	3
金鸡胶囊	jin ji jiao nang	4
金龙胶囊	jin long jiao nang	2
鉴别染色	jian bie ran se	1
针刺疗法	zhen ci liao fa	1
针刺试验	zhen ci shi yan	1
针刺镇痛	zhen ci zhen tong	2
针刺麻醉	zhen ci ma zui	10
针灸治疗学	zhen jiu zhi liao xue	8
针灸甲乙经	zhen jiu jia yi jing	37
钕玻璃	nv bo li	15
钙代谢紊乱	gai dai xie wen luan	2
钙化上皮瘤	gai hua shang pi liu	1
钙化影	gai hua ying	2
钙化性肌腱炎	gai hua xing ji jian yan	2
钙化灶	gai hua zao	1
钙拮抗药	gai jie kang yao	3
钙结合蛋白	gai jie he dan bai	28
钙铁锌硒维生素	gai tie xin xi wei sheng su	3
钛板	tai ban	5
钝器伤	dun qi shang	12
钝痛	dun tong	9
钟尚志	zhong shang zhi	9
钟惠澜	zhong hui lan	14
钠泵	na beng	2
钡餐透视	bei can tou shi	1
钩吻中毒	gou wen zhong du	5
钩椎关节	gou zhui guan jie	4
钩毛	gou mao	39
钩端螺旋体疫苗	gou duan luo xuan ti yi miao	4
钩藤汤	gou teng tang	1
钩虫病	gou chong bing	29
钩骨	gou gu	30
钱雷	qian lei	5
钳刮术	qian gua shu	5
钻山风	zuan shan feng	1
钻山风糖浆	zuan shan feng tang jiang	2
铁扫帚	tie sao zhou	14
铁染色	tie ran se	2
铁棒锤止痛膏	tie bang chui zhi tong gao	3
铁皮枫斗胶囊	tie pi feng dou jiao nang	3
铁皮枫斗颗粒	tie pi feng dou ke li	5
铁缺乏	tie que fa	16
铁锌钙	tie xin gai	5
铅尘	qian chen	8
铋中毒	bi zhong du	2
铜中毒	tong zhong du	10
铝尘肺	lv chen fei	4
铝碳酸镁	lv tan suan mei	1
铝碳酸镁咀嚼片	lv tan suan mei ju jue pian	3
铝碳酸镁片	lv tan suan mei pian	4
铝碳酸镁颗粒	lv tan suan mei ke li	3
铝镁加混悬液	lv mei jia hun xuan ye	3
铬中毒	ge zhong du	1
铬酸盐制造业工人肺癌	ge suan yan zhi zao ye gong ren fei ai	4
铬鼻病	ge bi bing	4
银丹心泰滴丸	yin dan xin tai di wan	3
银丹心脑通软胶囊	yin dan xin nao tong ruan jiao nang	3
银屑灵	yin xie ling	2
银屑病关节炎	yin xie bing guan jie yan	7
银屑胶囊	yin xie jiao nang	5
银屑颗粒	yin xie ke li	3
银杏内酯	yin xing nei zhi	14
银杏叶丸	yin xing ye wan	2
银杏叶分散片	yin xing ye fen san pian	4
银杏叶提取物	yin xing ye ti qu wu	1
银杏叶提取物注射液	yin xing ye ti qu wu zhu she ye	3
银杏叶提取物片	yin xing ye ti qu wu pian	3
银杏叶片	yin xing ye pian	7
银杏叶胶囊	yin xing ye jiao nang	5
银杏叶软胶囊	yin xing ye ruan jiao nang	3
银杏洋参胶囊	yin xing yang shen jiao nang	3
银杏胶囊	yin xing jiao nang	6
银杏软胶囊	yin xing ruan jiao nang	3
银杏达莫注射液	yin xing da mo zhu she ye	3
银杏酮酯	yin xing tong zhi	3
银杏酮酯分散片	yin xing tong zhi fen san pian	2
银杏酮酯滴丸	yin xing tong zhi di wan	3
银杏酸	yin xing suan	1
银柴胡	yin chai hu	6
银柴颗粒	yin chai ke li	3
银汞合金	yin gong he jin	2
银红补肾药酒	yin hong bu shen yao jiu	2
银翘散	yin qiao san	5
银翘片	yin qiao pian	7
银翘解毒丸	yin qiao jie du wan	1
银翘解毒合剂	yin qiao jie du he ji	3
银翘解毒片	yin qiao jie du pian	3
银翘解毒胶囊	yin qiao jie du jiao nang	4
银翘解毒颗粒	yin qiao jie du ke li	4
银翘颗粒	yin qiao ke li	3
银耳多糖	yin er duo tang	6
银花感冒颗粒	yin hua gan mao ke li	3
银花泌炎灵片	yin hua mi yan ling pian	2
银菊清咽颗粒	yin ju qing yan ke li	2
银葛通脉茶	yin ge tong mai cha	3
银贝止咳颗粒	yin bei zhi ke ke li	2
银黄	yin huang	6
银黄分散片	yin huang fen san pian	3
银黄口服液	yin huang kou fu ye	4
银黄含化片	yin huang han hua pian	2
银黄含片	yin huang han pian	5
银黄注射液	yin huang zhu she ye	2
银黄清肺胶囊	yin huang qing fei jiao nang	3
银黄滴丸	yin huang di wan	2
银黄片	yin huang pian	3
银黄胶囊	yin huang jiao nang	4
银黄颗粒	yin huang ke li	6
铸工尘肺	zhu gong chen fei	4
链激酶	lian ji mei	22
链球菌性肺炎	lian qiu jun xing fei yan	2
锁定钢板	suo ding gang ban	3
锁阳	suo yang	44
锁阳固精丸	suo yang gu jing wan	5
锁阳补肾胶囊	suo yang bu shen jiao nang	4
锁骨上淋巴结	suo gu shang lin ba jie	2
锁骨上窝	suo gu shang wo	4
锁骨下动脉	suo gu xia dong mai	43
锁骨下静脉	suo gu xia jing mai	12
锁骨中线	suo gu zhong xian	13
锁骨骨折	suo gu gu zhe	35
锌中毒	xin zhong du	5
锌缺乏	xin que fa	21
锐痛	rui tong	5
错义突变	cuo yi tu bian	23
错构瘤	cuo gou liu	17
锤状趾	chui zhuang zhi	1
锥体外系	zhui ti wai xi	14
锥体外系反应	zhui ti wai xi fan ying	15
锥体外系疾病	zhui ti wai xi ji bing	1
锥体系统	zhui ti xi tong	3
锦灯笼	jin deng long	5
锯齿缘	ju chi yuan	47
镇咳糖浆	zhen ke tang jiang	3
镇咳药	zhen ke yao	23
镇痛膏	zhen tong gao	1
镇脑宁胶囊	zhen nao ning jiao nang	2
镍钛合金	nie tai he jin	3
镜检	jing jian	42
镜湖马路	jing hu ma lu	43
镫骨手术	deng gu shou shu	2
镰刀菌病	lian dao jun bing	3
镰状细胞贫血	lian zhuang xi bao pin xue	5
长头	chang tou	9
长强	chang qiang	5
长强穴	chang qiang xue	3
长时记忆	chang shi ji yi	9
长春宝丸	chang chun bao wan	3
长春瑞滨	chang chun rui bin	2
长春生物制品研究所	chang chun sheng wu zhi pin yan jiu suo	5
长春益寿膏	chang chun yi shou gao	3
长春碱	chang chun jian	23
长春西汀	chang chun xi ting	1
长春西汀注射液	chang chun xi ting zhu she ye	3
长春西汀葡萄糖注射液	chang chun xi ting pu tao tang zhu she ye	3
长源甘平	chang yuan gan ping	2
长牙	chang ya	10
长肌	chang ji	44
长骨	chang gu	8
门体分流术	men ti fen liu shu	5
门冬氨酸	men dong an suan	4
门冬氨酸钾	men dong an suan jia	1
门冬氨酸钾镁	men dong an suan jia mei	4
门冬氨酸钾镁注射液	men dong an suan jia mei zhu she ye	2
门冬氨酸鸟氨酸	men dong an suan niao an suan	2
门冬胰岛素	men dong yi dao su	20
门冬胰岛素注射液	men dong yi dao su zhu she ye	3
门冬酰胺	men dong xian an	6
门冬酰胺酶	men dong xian an mei	21
门脉高压	men mai gao ya	37
门静脉血栓形成	men jing mai xue shuan xing cheng	5
门静脉高压	men jing mai gao ya	13
闭合性气胸	bi he xing qi xiong	2
闭合性脑损伤	bi he xing nao sun shang	6
闭塞性动脉硬化	bi se xing dong mai ying hua	2
闭塞性动脉硬化症	bi se xing dong mai ying hua zheng	2
闭孔	bi kong	38
闭孔疝	bi kong shan	2
闭孔神经	bi kong shen jing	3
闭角型青光眼	bi jiao xing qing guang yan	5
闭锁综合征	bi suo zong he zheng	24
间使	jian shi	6
间使穴	jian shi xue	3
间变	jian bian	7
间接接触	jian jie jie chu	36
间接推理	jian jie tui li	1
间接死因	jian jie si yin	3
间接转移	jian jie zhuan yi	2
间日疟	jian ri nve	39
间歇性外斜视	jian xie xing wai xie shi	2
间歇性跛行	jian xie xing bo xing	11
间歇热	jian xie re	1
间皮	jian pi	5
间羟胺	jian qiang an	4
间苯三酚	jian ben san fen	29
间质性肾炎	jian zhi xing shen yan	19
间质性膀胱炎	jian zhi xing pang guang yan	36
阈浓度	yu nong du	2
阉割情结	yan ge qing jie	1
阑尾穴	lan wei xue	1
阑尾类癌	lan wei lei ai	2
阔筋膜张肌	kuo jin mo zhang ji	3
队列研究	dui lie yan jiu	40
防伪标志	fang wei biao zhi	13
防保站	fang bao zhan	7
防参止痒颗粒	fang shen zhi yang ke li	2
防己黄芪汤	fang ji huang qi tang	3
防护口罩	fang hu kou zhao	27
防护手套	fang hu shou tao	17
防护用品	fang hu yong pin	36
防芷鼻炎片	fang zhi bi yan pian	2
防衰益寿丸	fang shuai yi shou wan	3
防风通圣	fang feng tong sheng	2
防风通圣丸	fang feng tong sheng wan	5
防风通圣散	fang feng tong sheng san	3
阳交	yang jiao	2
阳性体征	yang xing ti zheng	1
阳春口服液	yang chun kou fu ye	2
阳春砂	yang chun sha	3
阳极效应	yang ji xiao ying	2
阳池	yang chi	6
阳溪穴	yang xi xue	1
阳生植物	yang sheng zhi wu	1
阳白	yang bai	5
阳白穴	yang bai xue	2
阳脉之海	yang mai zhi hai	2
阳虚寒凝证	yang xu han ning zheng	2
阳虚水泛	yang xu shui fan	3
阳虚血瘀证	yang xu xue yu zheng	2
阳谷穴	yang gu xue	2
阳起石	yang qi shi	33
阳辅穴	yang fu xue	2
阳陵泉	yang ling quan	7
阴交	yin jiao	7
阴包	yin bao	2
阴囊损伤	yin nang sun shang	2
阴囊水肿	yin nang shui zhong	10
阴囊湿疹	yin nang shi zhen	4
阴囊炎	yin nang yan	4
阴囊疱疹	yin nang pao zhen	2
阴囊瘙痒	yin nang sao yang	4
阴囊肿大	yin nang zhong da	2
阴寒证	yin han zheng	2
阴市	yin shi	3
阴平阳秘	yin ping yang mi	6
阴影效应	yin ying xiao ying	1
阴液亏损	yin ye kui sun	4
阴盛格阳	yin sheng ge yang	1
阴脉之海	yin mai zhi hai	2
阴茎假体植入术	yin jing jia ti zhi ru shu	4
阴茎再造术	yin jing zai zao shu	4
阴茎延长术	yin jing yan chang shu	1
阴茎异常勃起	yin jing yi chang bo qi	36
阴茎扭转	yin jing niu zhuan	1
阴茎损伤	yin jing sun shang	4
阴茎畸形	yin jing ji xing	4
阴茎肿瘤	yin jing zhong liu	2
阴茎部分切除术	yin jing bu fen qie chu shu	3
阴虚内热证	yin xu nei re zheng	2
阴虚发热	yin xu fa re	3
阴虚火旺	yin xu huo wang	10
阴虚火旺证	yin xu huo wang zheng	2
阴虚血瘀证	yin xu xue yu zheng	2
阴虚阳亢	yin xu yang kang	6
阴虚阳亢证	yin xu yang kang zheng	2
阴虱病	yin shi bing	2
阴谷	yin gu	4
阴道再造术	yin dao zai zao shu	3
阴道冲洗	yin dao chong xi	2
阴道分泌物检查	yin dao fen mi wu jian cha	6
阴道前庭	yin dao qian ting	17
阴道成形术	yin dao cheng xing shu	34
阴道松弛	yin dao song chi	4
阴道横隔	yin dao heng ge	3
阴道毛滴虫病	yin dao mao di chong bing	3
阴道紧缩术	yin dao jin suo shu	5
阴道纵膈	yin dao zong ge	3
阴道纵隔	yin dao zong ge	4
阴道肿瘤	yin dao zhong liu	15
阴道脱垂	yin dao tuo chui	3
阴道镜检查	yin dao jing jian cha	4
阴道闭锁	yin dao bi suo	7
阴都	yin du	4
阴阳两虚证	yin yang liang xu zheng	3
阴阳互根	yin yang hu gen	3
阴阳消长	yin yang xiao zhang	9
阴阳离决	yin yang li jue	3
阴阳转化	yin yang zhuan hua	4
阴陵泉	yin ling quan	2
阵发性室上性心动过速	zhen fa xing shi shang xing xin dong guo su	6
阵发性心动过速	zhen fa xing xin dong guo su	4
阵挛	zhen luan	43
阻力血管	zu li xue guan	1
阻塞性肺气肿	zu se xing fei qi zhong	7
阻生牙	zu sheng ya	1
阻生牙拔除术	zu sheng ya ba chu shu	4
阻遏蛋白	zu e dan bai	24
阿义马林	a yi ma lin	2
阿仑膦酸钠	a lun lin suan na	1
阿伐斯汀	a fa si ting	7
阿加曲班	a jia qu ban	1
阿卡波糖	a ka bo tang	2
阿卡波糖片	a ka bo tang pian	6
阿司匹林泡腾片	a si pi lin pao teng pian	1
阿司匹林片	a si pi lin pian	1
阿司匹林缓释片	a si pi lin huan shi pian	4
阿司匹林肠溶片	a si pi lin chang rong pian	7
阿司匹林肠溶缓释片	a si pi lin chang rong huan shi pian	2
阿司匹林肠溶胶囊	a si pi lin chang rong jiao nang	3
阿司咪唑	a si mi zuo	4
阿司米星	a si mi xing	2
阿咖酚散	a ka fen san	1
阿咖酚胶囊	a ka fen jiao nang	3
阿奇霉素分散片	a qi mei su fen san pian	1
阿奇霉素干混悬剂	a qi mei su gan hun xuan ji	3
阿奇霉素氯化钠注射液	a qi mei su lv hua na zhu she ye	2
阿奇霉素注射液	a qi mei su zhu she ye	4
阿奇霉素片	a qi mei su pian	5
阿奇霉素磷酸二氢钠	a qi mei su lin suan er qing na	2
阿奇霉素肠溶片	a qi mei su chang rong pian	2
阿奇霉素胶囊	a qi mei su jiao nang	5
阿奇霉素颗粒	a qi mei su ke li	6
阿尔马尔	a er ma er	4
阿归养血糖浆	a gui yang xue tang jiang	2
阿德福韦酯	a de fu wei zhi	2
阿德福韦酯片	a de fu wei zhi pian	4
阿德福韦酯胶囊	a de fu wei zhi jiao nang	4
阿扑吗啡	a pu ma fei	2
阿托伐他汀	a tuo fa ta ting	49
阿托伐他汀钙	a tuo fa ta ting gai	1
阿托伐他汀钙片	a tuo fa ta ting gai pian	1
阿托品眼膏	a tuo pin yan gao	2
阿拉斯加深海鱼油	a la si jia shen hai yu you	4
阿拉明	a la ming	12
阿拓莫兰	a tuo mo lan	2
阿昔洛韦乳膏	a xi luo wei ru gao	4
阿昔洛韦滴眼液	a xi luo wei di yan ye	4
阿昔洛韦片	a xi luo wei pian	4
阿昔洛韦眼膏	a xi luo wei yan gao	2
阿昔洛韦软膏	a xi luo wei ruan gao	3
阿昔莫司	a xi mo si	1
阿普唑仑片	a pu zuo lun pian	6
阿曲库铵	a qu ku an	3
阿替普酶	a ti pu mei	5
阿替洛尔	a ti luo er	19
阿柔比星	a rou bi xing	2
阿法骨化醇	a fa gu hua chun	3
阿洛西林	a luo xi lin	8
阿洛西林钠	a luo xi lin na	3
阿片中毒	a pian zhong du	2
阿立哌唑	a li pai zuo	26
阿立哌唑片	a li pai zuo pian	3
阿米三嗪萝巴新片	a mi san qin luo ba xin pian	6
阿米卡星	a mi ka xing	17
阿米巴性肝脓肿	a mi ba xing gan nong zhong	2
阿米巴肝脓肿	a mi ba gan nong zhong	2
阿米巴肺脓肿	a mi ba fei nong zhong	2
阿米替林	a mi ti lin	40
阿米福汀	a mi fu ting	2
阿胶三宝膏	e jiao san bao gao	3
阿胶养血膏	e jiao yang xue gao	2
阿胶口服液	e jiao kou fu ye	4
阿胶枣	e jiao zao	7
阿胶泡腾颗粒	e jiao pao teng ke li	2
阿胶益寿晶	e jiao yi shou jing	3
阿胶胶囊	e jiao jiao nang	3
阿胶补血口服液	e jiao bu xue kou fu ye	4
阿胶补血膏	e jiao bu xue gao	4
阿胶补血颗粒	e jiao bu xue ke li	2
阿胶颗粒	e jiao ke li	4
阿胶鸡子黄汤	e jiao ji zi huang tang	2
阿芬太尼	a fen tai ni	3
阿苯达唑	a ben da zuo	28
阿苯达唑片	a ben da zuo pian	1
阿苯达唑颗粒	a ben da zuo ke li	2
阿莫罗芬	a mo luo fen	1
阿莫西林克拉维酸钾	a mo xi lin ke la wei suan jia	8
阿莫西林克拉维酸钾片	a mo xi lin ke la wei suan jia pian	4
阿莫西林分散片	a mo xi lin fen san pian	5
阿莫西林咀嚼片	a mo xi lin ju jue pian	4
阿莫西林干混悬剂	a mo xi lin gan hun xuan ji	3
阿莫西林片	a mo xi lin pian	4
阿莫西林胶囊	a mo xi lin jiao nang	1
阿莫西林舒巴坦匹酯片	a mo xi lin shu ba tan pi zhi pian	2
阿莫西林钠	a mo xi lin na	1
阿莫西林钠氟氯西林钠	a mo xi lin na fu lv xi lin na	2
阿莫西林颗粒	a mo xi lin ke li	6
阿达帕林凝胶	a da pa lin ning jiao	1
阿那曲唑	a na qu zuo	3
阿里红咳喘口服液	a li hong ke chuan kou fu ye	2
阿魏化痞膏	a wei hua pi gao	3
阿魏酸	a wei suan	46
阿魏酸钠葡萄糖注射液	a wei suan na pu tao tang zhu she ye	2
阿黑皮素原	a hei pi su yuan	5
附分	fu fen	2
附加剂	fu jia ji	4
附子理中丸	fu zi li zhong wan	1
附睾囊肿	fu gao nang zhong	3
附睾炎	fu gao yan	23
附睾管	fu gao guan	2
附睾结核	fu gao jie he	1
附红细胞体病	fu hong xi bao ti bing	1
陆栖动物	lu qi dong wu	29
陈世益	chen shi yi	1
陈中伟	chen zhong wei	25
陈垣崇	chen yuan chong	23
陈定信	chen ding xin	32
陈宜张	chen yi zhang	9
陈无择	chen wu ze	5
陈旧性心肌梗死	chen jiu xing xin ji geng si	5
陈旧性肺结核	chen jiu xing fei jie he	5
陈旧性骨折	chen jiu xing gu zhe	8
陈昭遇	chen zhao yu	8
陈景虹	chen jing hong	3
陈肇隆	chen zhao long	9
陈藏器	chen cang qi	21
陈述性记忆	chen shu xing ji yi	47
陈香露白露	chen xiang lu bai lu	2
陈香露白露片	chen xiang lu bai lu pian	2
降压片	jiang ya pian	7
降压袋泡茶	jiang ya dai pao cha	4
降压颗粒	jiang ya ke li	2
降气	jiang qi	17
降真	jiang zhen	5
降糖丸	jiang tang wan	2
降糖宁胶囊	jiang tang ning jiao nang	6
降糖甲片	jiang tang jia pian	2
降糖舒胶囊	jiang tang shu jiao nang	2
降糖通脉胶囊	jiang tang tong mai jiao nang	3
降纤酶	jiang xian mei	2
降结肠	jiang jie chang	28
降脂排毒胶囊	jiang zhi pai du jiao nang	3
降脂灵片	jiang zhi ling pian	2
降脂灵胶囊	jiang zhi ling jiao nang	4
降钙素基因相关肽	jiang gai su ji yin xiang guan tai	4
降香	jiang xiang	23
限制性心肌病	xian zhi xing xin ji bing	2
限制性片段长度多态性	xian zhi xing pian duan chang du duo tai xing	2
院前急救	yuan qian ji jiu	20
除皱术	chu zhou shu	2
除脂生发片	chu zhi sheng fa pian	2
除障则海甫片	chu zhang ze hai fu pian	5
除障则海甫胶囊	chu zhang ze hai fu jiao nang	3
陶道穴	tao dao xue	4
隆突性皮肤纤维肉瘤	long tu xing pi fu xian wei rou liu	4
隆鼻术	long bi shu	7
随体	sui ti	3
随意后注意	sui yi hou zhu yi	3
随意肌	sui yi ji	15
随意运动	sui yi yun dong	13
随时消毒	sui shi xiao du	1
随机婚配	sui ji hun pei	2
随机误差	sui ji wu cha	40
随诊	sui zhen	13
隐丹参酮	yin dan shen tong	7
隐匿阴茎	yin ni yin jing	5
隐孢子虫病	yin bao zi chong bing	14
隐形义齿	yin xing yi chi	4
隐性感染	yin xing gan ran	14
隐性梅毒	yin xing mei du	4
隐球菌病	yin qiu jun bing	32
隐白	yin bai	9
隐白穴	yin bai xue	3
隐睾	yin gao	8
隐睾症	yin gao zheng	11
隐翅虫皮炎	yin chi chong pi yan	1
隐耳	yin er	9
隐蔽抗原	yin bi kang yuan	2
隔代遗传	ge dai yi chuan	23
隔山消积颗粒	ge shan xiao ji ke li	5
隔离服	ge li fu	7
障眼明片	zhang yan ming pian	3
难治性贫血	nan zhi xing pin xue	1
难经	nan jing	7
雄激素不敏感综合征	xiong ji su bu min gan zong he zheng	4
雅司	ya si	2
雅司病	ya si bing	24
雅士利奶粉	ya shi li nai fen	2
雅施达	ya shi da	4
集落刺激因子	ji luo ci ji yin zi	48
雌二醇贴片	ci er chun tie pian	2
雌核发育	ci he fa yu	13
雌激素替代治疗	ci ji su ti dai zhi liao	5
雌雄间体	ci xiong jian ti	3
雪上一枝蒿	xue shang yi zhi hao	1
雪山胃宝丸	xue shan wei bao wan	2
雪梨膏	xue li gao	6
雪胆胃肠丸	xue dan wei chang wan	4
雪莲注射液	xue lian zhu she ye	2
雷丸	lei wan	3
雷公藤	lei gong teng	43
雷公藤双层片	lei gong teng shuang ceng pian	4
雷公藤多甙	lei gong teng duo dai	3
雷公藤多甙片	lei gong teng duo dai pian	2
雷公藤多苷片	lei gong teng duo gan pian	4
雷公藤总萜片	lei gong teng zong tie pian	4
雷公藤片	lei gong teng pian	5
雷公藤甲素	lei gong teng jia su	3
雷击死	lei ji si	5
雷尼替丁	lei ni ti ding	43
雷尼替丁胶囊	lei ni ti ding jiao nang	3
