# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
作业控制语言	zuo ye kong zhi yu yan	7
作业描述	zuo ye miao shu	7
作业文件	zuo ye wen jian	7
作业步	zuo ye bu	3
作业流	zuo ye liu	1
作业状态	zuo ye zhuang tai	5
作业目录	zuo ye mu lu	5
作业管理	zuo ye guan li	29
作业表	zuo ye biao	1
作业说明	zuo ye shuo ming	4
作业调度	zuo ye diao du	17
作业队列	zuo ye dui lie	1
作用域解析	zuo yong yu jie xi	10
作用域链	zuo yong yu lian	12
佩尔方程	pei er fang cheng	36
使用例子	shi yong li zi	12
使用帮助	shi yong bang zhu	11
使用教程	shi yong jiao cheng	17
使用方	shi yong fang	12
使用细节	shi yong xi jie	10
使用说明	shi yong shuo ming	14
依存关系树	yi cun guan xi shu	4
依存结构	yi cun jie gou	5
依存语法	yi cun yu fa	12
依赖保持	yi lai bao chi	2
依赖倒置	yi lai dao zhi	11
依赖倒置原则	yi lai dao zhi yuan ze	12
依赖倒转原则	yi lai dao zhuan yuan ze	1
依赖函数	yi lai han shu	7
依赖包	yi lai bao	11
依赖图	yi lai tu	12
依赖库	yi lai ku	9
依赖方	yi lai fang	19
依赖注入	yi lai zhu ru	28
依赖管理	yi lai guan li	4
侧抑制	ce yi zhi	3
侧拉菜单	ce la cai dan	8
侧滑删除	ce hua shan chu	9
侧滑栏	ce hua lan	9
侧滑菜单	ce hua cai dan	12
便利构造器	bian li gou zao qi	11
便捷使用	bian jie shi yong	2
便携式计算机	bian xie shi ji suan ji	13
保存区	bao cun qu	8
保存图片	bao cun tu pian	4
保存当前表单	bao cun dang qian biao dan	6
保存数据	bao cun shu ju	22
保存文件	bao cun wen jian	29
保存更改	bao cun geng gai	11
保存网页	bao cun wang ye	9
保护方式	bao hu fang shi	10
保护模式	bao hu mo shi	13
保活	bao huo	12
保留两位小数	bao liu liang wei xiao shu	18
保留内存	bao liu nei cun	2
保留小数	bao liu xiao shu	2
保留小数位数	bao liu xiao shu wei shu	9
保研机试	bao yan ji shi	7
