# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
信任列表	xin ren lie biao	2
信任链	xin ren lian	29
信元头	xin yuan tou	5
信号与槽	xin hao yu cao	4
信号交换	xin hao jiao huan	7
信号和槽	xin hao he cao	2
信号完整性	xin hao wan zheng xing	17
信号操作	xin hao cao zuo	1
信号槽	xin hao cao	11
信号源阻抗	xin hao yuan zu kang	5
信号线	xin hao xian	12
信号重构	xin hao chong gou	5
信息主体	xin xi zhu ti	3
信息主管	xin xi zhu guan	6
信息估计	xin xi gu ji	1
信息保存	xin xi bao cun	18
信息冗余	xin xi rong yu	13
信息分类	xin xi fen lei	13
信息加密	xin xi jia mi	14
信息协议	xin xi xie yi	17
信息反馈	xin xi fan kui	28
信息增益	xin xi zeng yi	17
信息处理系统	xin xi chu li xi tong	36
信息处理语言	xin xi chu li yu yan	3
信息字段	xin xi zi duan	2
信息学竞赛	xin xi xue jing sai	23
信息技术基础	xin xi ji shu ji chu	4
信息摘要算法	xin xi zhai yao suan fa	2
信息无障碍	xin xi wu zhang ai	11
信息服务器	xin xi fu wu qi	9
信息架构	xin xi jia gou	19
信息格式	xin xi ge shi	5
信息流模型	xin xi liu mo xing	7
信息浏览	xin xi liu lan	1
信息浏览服务	xin xi liu lan fu wu	7
信息港	xin xi gang	7
信息点播	xin xi dian bo	5
信息空间	xin xi kong jian	40
信息竞赛	xin xi jing sai	3
信息结构	xin xi jie gou	9
信息编码	xin xi bian ma	21
信息读取	xin xi du qu	1
信息资源管理	xin xi zi yuan guan li	20
信息隐蔽	xin xi yin bi	9
信息隐藏	xin xi yin cang	16
信用评分	xin yong ping fen	42
修复脚本	xiu fu jiao ben	7
修改全局设置	xiu gai quan ju she zhi	5
修改包名	xiu gai bao ming	9
修改字体	xiu gai zi ti	5
修改字段	xiu gai zi duan	12
修改密码	xiu gai mi ma	45
修改文件	xiu gai wen jian	34
修改时间	xiu gai shi jian	15
修改检测	xiu gai jian ce	7
修改项目名称	xiu gai xiang mu ming cheng	8
修理时间	xiu li shi jian	2
倍增算法	bei zeng suan fa	10
倒排索引	dao pai suo yin	6
候选解	hou xuan jie	27
值传	zhi chuan	2
值传递	zhi chuan di	20
值参	zhi can	5
值对象	zhi dui xiang	17
值栈	zhi zhan	10
值调用	zhi diao yong	34
假信号	jia xin hao	18
假冒攻击	jia mao gong ji	5
假脱机	jia tuo ji	4
假脱机文件	jia tuo ji wen jian	7
假脱机系统	jia tuo ji xi tong	5
假言推理	jia yan tui li	11
假设验证	jia she yan zheng	1
偏函数	pian han shu	49
偏好设置	pian hao she zhi	39
偏差控制	pian cha kong zhi	5
偏最小二乘	pian zui xiao er cheng	26
偏特化	pian te hua	15
偏转线圈	pian zhuan xian quan	1
停止信号	ting zhi xin hao	43
停止线程	ting zhi xian cheng	12
停靠窗口	ting kao chuang kou	8
健壮性	jian zhuang xing	36
偶发故障	ou fa gu zhang	5
偶数场	ou shu chang	6
偶数扫描	ou shu sao miao	2
偶检验	ou jian yan	5
傅里叶描述子	fu li ye miao shu zi	6
傲游浏览器	ao you liu lan qi	17
僵尸进程	jiang shi jin cheng	25
僵死进程	jiang si jin cheng	11
允许中断	yun xu zhong duan	1
元信令	yuan xin ling	7
元字符	yuan zi fu	11
元数据库	yuan shu ju ku	24
元数据驱动	yuan shu ju qu dong	2
元文件	yuan wen jian	12
元注解	yuan zhu jie	2
元知识	yuan zhi shi	6
元素定位	yuan su ding wei	2
元素节点	yuan su jie dian	7
元组	yuan zu	15
元组关系演算	yuan zu guan xi yan suan	7
元表	yuan biao	10
元语法	yuan yu fa	31
元语言	yuan yu yan	10
兄弟连	xiong di lian	11
先入先出队列	xian ru xian chu dui lie	1
先序	xian xu	13
先序遍历	xian xu bian li	7
先来先服务	xian lai xian fu wu	1
先进后出	xian jin hou chu	2
先进控制	xian jin kong zhi	6
先进操作系统	xian jin cao zuo xi tong	5
光口	guang kou	8
光子计算机	guang zi ji suan ji	2
光存储器	guang cun chu qi	5
光学图像	guang xue tu xiang	22
光带	guang dai	7
光强	guang qiang	10
光栅扫描	guang shan sao miao	8
光栅显示	guang shan xian shi	2
光流	guang liu	11
光流场	guang liu chang	9
光流法	guang liu fa	6
光照模型	guang zhao mo xing	15
光线投射	guang xian tou she	44
光线方向	guang xian fang xiang	7
克林闭包	ke lin bi bao	5
免安装	mian an zhuang	43
免密码	mian mi ma	3
免密码登录	mian mi ma deng lu	11
免登陆	mian deng lu	7
免证书	mian zheng shu	8
免费图标	mian fei tu biao	8
免费短信	mian fei duan xin	29
免费网	mian fei wang	5
免费资源	mian fei zi yuan	21
入事件	ru shi jian	7
入侵检测	ru qin jian ce	25
入侵检测系统	ru qin jian ce xi tong	37
入栈	ru zhan	33
全不选	quan bu xuan	10
全双工传输	quan shuang gong chuan shu	7
全局事务	quan ju shi wu	7
全局优化	quan ju you hua	13
全局共享资源	quan ju gong xiang zi yuan	5
全局函数	quan ju han shu	11
全局存储器	quan ju cun chu qi	8
全局对象	quan ju dui xiang	10
全局应用	quan ju ying yong	9
全局搜索	quan ju sou suo	7
全局故障	quan ju gu zhang	5
全局查询	quan ju cha xun	2
全局设置	quan ju she zhi	1
全屏幕	quan ping mu	36
全屏截图	quan ping jie tu	2
全屏显示	quan ping xian shi	8
全排列算法	quan pai lie suan fa	9
全排序	quan pai xu	1
全文搜索	quan wen sou suo	29
全文检索	quan wen jian suo	48
全文索引	quan wen suo yin	14
全景教程	quan jing jiao cheng	6
全景漫游	quan jing man you	9
全景视频	quan jing shi pin	24
全期望公式	quan qi wang gong shi	5
全栈工程师	quan zhan gong cheng shi	3
全球地址	quan qiu di zhi	2
全相联映射	quan xiang lian ying she	7
全称域名	quan cheng yu ming	1
全角	quan jiao	13
全连接	quan lian jie	20
全选反选	quan xuan fan xuan	7
全部刷新	quan bu shua xin	1
全限定域名	quan xian ding yu ming	7
八叉树	ba cha shu	27
八大排序算法	ba da pai xu suan fa	9
八数码	ba shu ma	1
八数码问题	ba shu ma wen ti	10
八皇后	ba huang hou	10
八皇后问题	ba huang hou wen ti	25
八进制数字	ba jin zhi shu zi	3
公众号开发	gong zhong hao kai fa	1
公共事件	gong gong shi jian	8
公共信息模型	gong gong xin xi mo xing	2
公共域	gong gong yu	11
公共子串	gong gong zi chuan	5
公共子序列	gong gong zi xu lie	24
公共对象	gong gong dui xiang	10
公共总线	gong gong zong xian	1
公共模数	gong gong mo shu	6
公共网关接口	gong gong wang guan jie kou	1
公共节点	gong gong jie dian	6
公共语言	gong gong yu yan	9
公共语言规范	gong gong yu yan gui fan	4
公共账号	gong gong zhang hao	8
公司项目	gong si xiang mu	12
公告板系统	gong gao ban xi tong	8
公平锁	gong ping suo	11
公开类	gong kai lei	9
公开课视频	gong kai ke shi pin	8
公式推导	gong shi tui dao	32
公式编辑器	gong shi bian ji qi	28
公有云	gong you yun	21
公有域	gong you yu	1
公有成员	gong you cheng yuan	7
公用数据网	gong yong shu ju wang	1
六大原则	liu da yuan ze	6
六度分离	liu du fen li	12
共享上网	gong xiang shang wang	10
共享内存结构	gong xiang nei cun jie gou	1
共享变量	gong xiang bian liang	14
共享名	gong xiang ming	1
共享存储	gong xiang cun chu	14
共享存储器	gong xiang cun chu qi	3
共享控件	gong xiang kong jian	5
共享操作系统	gong xiang cao zuo xi tong	7
共享数据	gong xiang shu ju	48
共享文件夹	gong xiang wen jian jia	9
共享段	gong xiang duan	9
共享白板	gong xiang bai ban	1
共享目录	gong xiang mu lu	6
共享程序集	gong xiang cheng xu ji	2
共享锁	gong xiang suo	4
共享页表	gong xiang ye biao	5
共享高速缓存	gong xiang gao su huan cun	6
共生矩阵	gong sheng ju zhen	8
共用体	gong yong ti	3
关于数据库	guan yu shu ju ku	2
关于程序员	guan yu cheng xu yuan	9
关系数据模型	guan xi shu ju mo xing	4
关系模式分解	guan xi mo shi fen jie	6
关系演算	guan xi yan suan	17
关系系统	guan xi xi tong	8
关系运算	guan xi yun suan	19
关系运算符	guan xi yun suan fu	8
关系逻辑	guan xi luo ji	4
关联关系	guan lian guan xi	37
关联分析	guan lian fen xi	33
关联容器	guan lian rong qi	22
关联对象	guan lian dui xiang	3
关联映射	guan lian ying she	11
关联查询	guan lian cha xun	12
关联源码	guan lian yuan ma	9
关联矩阵	guan lian ju zhen	11
关联类	guan lian lei	6
关联规则	guan lian gui ze	44
关联集	guan lian ji	1
关节点	guan jie dian	6
关键帧	guan jian zhen	41
关键帧动画	guan jian zhen dong hua	4
关键成功因素	guan jian cheng gong yin su	13
关键程度	guan jian cheng du	2
关键计算	guan jian ji suan	1
关键词布局	guan jian ci bu ju	7
关闭全部	guan bi quan bu	12
关闭句柄	guan bi ju bing	1
关闭并保存	guan bi bing bao cun	7
关闭所有标签	guan bi suo you biao qian	6
关闭按钮	guan bi an niu	11
关闭标签	guan bi biao qian	2
关闭程序	guan bi cheng xu	14
关闭窗口	guan bi chuang kou	6
关闭记录集	guan bi ji lu ji	1
关闭进程句柄	guan bi jin cheng ju bing	6
关闭键盘	guan bi jian pan	3
兼容字符	jian rong zi fu	6
兼容性测试	jian rong xing ce shi	15
兼容机制	jian rong ji zhi	1
兼容模式	jian rong mo shi	31
兼容计算机	jian rong ji suan ji	10
兼容问题	jian rong wen ti	27
内像素	nei xiang su	2
内务操作	nei wu cao zuo	4
内含逻辑	nei han luo ji	1
内存优化	nei cun you hua	3
内存保护	nei cun bao hu	32
内存共享	nei cun gong xiang	7
内存分布	nei cun fen bu	1
内存分析	nei cun fen xi	12
内存分配策略	nei cun fen pei ce lve	11
内存区域	nei cun qu yu	30
内存可见性	nei cun ke jian xing	2
内存四区	nei cun si qu	8
内存回收	nei cun hui shou	1
内存对齐	nei cun dui qi	5
内存屏障	nei cun ping zhang	31
内存布局	nei cun bu ju	12
内存拷贝	nei cun kao bei	3
内存插槽	nei cun cha cao	6
内存操作	nei cun cao zuo	18
内存数据库	nei cun shu ju ku	13
内存整理	nei cun zheng li	1
内存映射	nei cun ying she	31
内存映射文件	nei cun ying she wen jian	23
内存机制	nei cun ji zhi	2
内存检测	nei cun jian ce	10
内存模型	nei cun mo xing	21
内存泄露	nei cun xie lou	8
内存溢出	nei cun yi chu	7
内存碎片	nei cun sui pian	7
内存管理机制	nei cun guan li ji zhi	4
内存结构	nei cun jie gou	5
内存缓存	nei cun huan cun	6
内存警告	nei cun jing gao	12
内存计算	nei cun ji suan	2
内存调试	nei cun tiao shi	2
内存越界	nei cun yue jie	1
内存释放	nei cun shi fang	3
内存问题	nei cun wen ti	15
内容协商	nei rong xie shang	17
内容控件	nei rong kong jian	9
内容控制	nei rong kong zhi	8
内容提供器	nei rong ti gong qi	11
内容提供者	nei rong ti gong zhe	27
内容观察者	nei rong guan cha zhe	10
内容页	nei rong ye	7
内建函数	nei jian han shu	23
内排序	nei pai xu	3
内支付	nei zhi fu	8
内核函数	nei he han shu	16
内核分析	nei he fen xi	8
内核升级	nei he sheng ji	7
内核原理	nei he yuan li	1
内核同步	nei he tong bu	4
内核启动	nei he qi dong	11
内核态	nei he tai	40
内核数据结构	nei he shu ju jie gou	11
内核服务	nei he fu wu	5
内核栈	nei he zhan	11
内核模块	nei he mo kuai	49
内核移植	nei he yi zhi	3
内核程序	nei he cheng xu	1
内核空间	nei he kong jian	40
内核线程	nei he xian cheng	5
内核编程	nei he bian cheng	1
内核编译	nei he bian yi	1
内核调试	nei he tiao shi	5
内核进程	nei he jin cheng	3
内核配置	nei he pei zhi	12
内核重新编译	nei he chong xin bian yi	7
内核链表	nei he lian biao	9
内核驱动	nei he qu dong	11
内模式	nei mo shi	10
内网映射	nei wang ying she	8
内网渗透	nei wang shen tou	8
内网穿透	nei wang chuan tou	2
内置函数	nei zhi han shu	24
内置对象	nei zhi dui xiang	1
内置类型	nei zhi lei xing	4
内联元素	nei lian yuan su	12
内联函数	nei lian han shu	27
内联汇编	nei lian hui bian	12
内裁剪	nei cai jian	5
内边距	nei bian ju	3
内部函数	nei bu han shu	13
内部威胁	nei bu wei xie	16
内部存储	nei bu cun chu	46
内部寄存器	nei bu ji cun qi	6
内部对象	nei bu dui xiang	4
内部样式	nei bu yang shi	5
内部样式表	nei bu yang shi biao	1
内部碎片	nei bu sui pian	5
内部类	nei bu lei	20
内部级	nei bu ji	6
内部网关协议	nei bu wang guan xie yi	22
内部错误	nei bu cuo wu	6
再压缩	zai ya suo	22
再工程	zai gong cheng	8
冒泡排序	mao pao pai xu	34
冒泡排序法	mao pao pai xu fa	11
冒泡法	mao pao fa	1
冒泡算法	mao pao suan fa	10
冒烟测试	mao yan ce shi	26
写任务	xie ren wu	8
写保护	xie bao hu	11
写入文件	xie ru wen jian	27
写内存	xie nei cun	11
写出数据	xie chu shu ju	11
写到内存	xie dao nei cun	1
写后写	xie hou xie	5
写后读	xie hou du	11
写周期	xie zhou qi	5
写字段	xie zi duan	9
写数据	xie shu ju	15
写文档	xie wen dang	6
写无效	xie wu xiao	2
写时复制	xie shi fu zhi	43
写时拷贝	xie shi kao bei	1
写注册项	xie zhu ce xiang	5
写环境变量	xie huan jing bian liang	1
写直达	xie zhi da	1
写访问	xie fang wen	11
写通过	xie tong guo	8
冰刃	bing ren	30
冰盾	bing dun	25
冲突检测	chong tu jian ce	15
冲突消解	chong tu xiao jie	2
决策准则	jue ce zhun ze	5
决策函数	jue ce han shu	1
决策单调	jue ce dan diao	6
决策单调性	jue ce dan diao xing	7
决策控制	jue ce kong zhi	6
决策支持系统	jue ce zhi chi xi tong	44
决策树算法	jue ce shu suan fa	6
决策树系统	jue ce shu xi tong	6
决策模型	jue ce mo xing	10
决策矩阵	jue ce ju zhen	4
决策空间	jue ce kong jian	2
决策表	jue ce biao	4
决策规则	jue ce gui ze	18
决策语句	jue ce yu ju	5
决策问题	jue ce wen ti	44
冷备份	leng bei fen	1
净室软件工程	jing shi ruan jian gong cheng	1
净荷	jing he	3
减法器	jian fa qi	7
几何变形	ji he bian xing	4
几何变换	ji he bian huan	37
几何数学	ji he shu xue	2
几何校正	ji he jiao zheng	3
几何画板	ji he hua ban	13
几何画板下载	ji he hua ban xia zai	5
几何画板教程	ji he hua ban jiao cheng	7
几何算法	ji he suan fa	11
几何造型	ji he zao xing	27
凸优化	tu you hua	40
凸分解	tu fen jie	4
凹多边形	ao duo bian xing	25
出事件	chu shi jian	9
出栈	chu zhan	25
出现序列	chu xian xu lie	8
出错中断	chu cuo zhong duan	6
出错处理	chu cuo chu li	5
出错文件	chu cuo wen jian	1
出错率	chu cuo lv	6
出队	chu dui	14
函数优化	han shu you hua	2
函数传参	han shu chuan can	10
函数依赖	han shu yi lai	42
函数分析	han shu fen xi	9
函数回调	han shu hui tiao	1
函数实现	han shu shi xian	19
函数应用	han shu ying yong	49
函数式接口	han shu shi jie kou	1
函数式线段树	han shu shi xian duan shu	1
函数指针数组	han shu zhi zhen shu zu	11
函数栈	han shu zhan	1
函数模版	han shu mo ban	2
函数用法	han shu yong fa	12
函数程序设计	han shu cheng xu she ji	2
函数绑定	han shu bang ding	7
函数编程	han shu bian cheng	4
函数节流	han shu jie liu	8
函数表达式	han shu biao da shi	30
函数覆盖	han shu fu gai	1
函数讲解	han shu jiang jie	9
函数返回值	han shu fan hui zhi	23
函数重载	han shu chong zai	47
分享功能	fen xiang gong neng	37
分享朋友圈	fen xiang peng you quan	7
分别编译	fen bie bian yi	1
分割字符串	fen ge zi fu chuan	12
分割文本	fen ge wen ben	8
分割线	fen ge xian	39
分发应用	fen fa ying yong	3
分发机制	fen fa ji zhi	3
分发版	fen fa ban	9
分块	fen kuai	14
分块查找	fen kuai cha zhao	9
分块算法	fen kuai suan fa	6
分层图	fen ceng tu	1
分层遍历	fen ceng bian li	9
分布式事务	fen bu shi shi wu	23
分布式处理	fen bu shi chu li	17
分布式多媒体	fen bu shi duo mei ti	6
分布式存储	fen bu shi cun chu	18
分布式存储器	fen bu shi cun chu qi	10
分布式容错	fen bu shi rong cuo	3
分布式应用	fen bu shi ying yong	15
分布式开发	fen bu shi kai fa	1
分布式技术	fen bu shi ji shu	1
分布式排序	fen bu shi pai xu	7
分布式控制	fen bu shi kong zhi	7
分布式数据库	fen bu shi shu ju ku	31
分布式服务	fen bu shi fu wu	9
分布式架构	fen bu shi jia gou	6
分布式框架	fen bu shi kuang jia	3
分布式消息	fen bu shi xiao xi	5
分布式爬虫	fen bu shi pa chong	8
分布式算法	fen bu shi suan fa	3
分布式缓存	fen bu shi huan cun	7
分布式网站	fen bu shi wang zhan	9
分布式计算机	fen bu shi ji suan ji	9
分布式配置	fen bu shi pei zhi	1
分布式锁	fen bu shi suo	3
分布式锁服务	fen bu shi suo fu wu	10
分布式集群	fen bu shi ji qun	1
分布模式	fen bu mo shi	10
分布电容	fen bu dian rong	2
分布计算	fen bu ji suan	11
分布负载	fen bu fu zai	6
分布透明性	fen bu tou ming xing	1
分库分表	fen ku fen biao	12
分形几何	fen xing ji he	29
分接头	fen jie tou	11
分支合并	fen zhi he bing	13
分支条件覆盖	fen zhi tiao jian fu gai	5
分支管理	fen zhi guan li	1
分支结构	fen zhi jie gou	33
分支覆盖	fen zhi fu gai	5
分支限界	fen zhi xian jie	4
分支限界搜索	fen zhi xian jie sou suo	8
分支限界法	fen zhi xian jie fa	9
分散控制	fen san kong zhi	7
分数规划	fen shu gui hua	1
分时处理	fen shi chu li	6
分时操作系统	fen shi cao zuo xi tong	7
分时调度	fen shi diao du	9
分析函数	fen xi han shu	8
分析属性	fen xi shu xing	8
分析攻击	fen xi gong ji	6
分析阶段	fen xi jie duan	13
分段控件	fen duan kong jian	10
分段标志	fen duan biao zhi	6
分水岭算法	fen shui ling suan fa	9
分治思想	fen zhi si xiang	11
分治法	fen zhi fa	27
分治策略	fen zhi ce lve	2
分治算法	fen zhi suan fa	14
分派程序	fen pai cheng xu	1
分派表	fen pai biao	1
分片模式	fen pian mo shi	7
分立元件	fen li yuan jian	12
分类算法	fen lei suan fa	10
分类讨论	fen lei tao lun	10
分类识别	fen lei shi bie	2
分级控制	fen ji kong zhi	7
分组交换网	fen zu jiao huan wang	3
分组传送	fen zu chuan song	3
分组函数	fen zu han shu	11
分组层	fen zu ceng	2
分组查询	fen zu cha xun	11
分组背包	fen zu bei bao	10
分组长度	fen zu chang du	13
分表	fen biao	41
分解协调	fen jie xie tiao	5
分解质因子	fen jie zhi yin zi	8
分解质因数	fen jie zhi yin shu	4
分词器	fen ci qi	12
分辨率适配	fen bian lv shi pei	10
分部类型	fen bu lei xing	5
分配单位	fen pei dan wei	13
分配权限	fen pei quan xian	12
分配模式	fen pei mo shi	10
分页技术	fen ye ji shu	2
分页显示	fen ye xian shi	10
分页机制	fen ye ji zhi	6
分页查询	fen ye cha xun	13
分页程序	fen ye cheng xu	8
分页类	fen ye lei	10
切图	qie tu	12
切换动画	qie huan dong hua	2
切换标签	qie huan biao qian	10
切比雪夫距离	qie bi xue fu ju li	30
切片引擎	qie pian yin qing	6
切面编程	qie mian bian cheng	10
划分树	hua fen shu	10
划分算法	hua fen suan fa	3
列地址	lie di zhi	5
列地址选通	lie di zhi xuan tong	6
列式存储	lie shi cun chu	3
列表控件	lie biao kong jian	3
列表显示	lie biao xian shi	12
列表框	lie biao kuang	6
列表生成式	lie biao sheng cheng shi	1
列表解析	lie biao jie xi	5
列转行	lie zhuan xing	9
列选	lie xuan	8
刘汝佳白书	liu ru jia bai shu	6
