# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
冰冻三尺	bing dong san chi	13
冰冻三尺非一日之寒	bing dong san chi fei yi ri zhi han	11
冰雪严寒	bing xue yan han	2
冲冠一怒为红颜	chong guan yi nu wei hong yan	7
冲口而出	chong kou er chu	26
决一胜负	jue yi sheng fu	48
决胜于千里之外	jue sheng yu qian li zhi wai	4
决胜千里	jue sheng qian li	16
冷水浇头	leng shui jiao tou	1
冷眼相待	leng yan xiang dai	22
凄风冷雨	qi feng leng yu	14
凌云之志	ling yun zhi zhi	2
凌云壮志	ling yun zhuang zhi	15
凤冠霞帔	feng guan xia pei	31
凤凰于飞	feng huang yu fei	26
凤凰来仪	feng huang lai yi	21
凭空臆造	ping kong yi zao	1
出乎意外	chu hu yi wai	41
出乎预料	chu hu yu liao	44
出于意外	chu yu yi wai	10
出于无奈	chu yu wu nai	39
出人意外	chu ren yi wai	31
出入人罪	chu ru ren zui	1
出头之日	chu tou zhi ri	13
出头的椽子先烂	chu tou de chuan zi xian lan	6
出师无名	chu shi wu ming	5
出师有名	chu shi you ming	4
出敌不意	chu di bu yi	21
出污泥而不染	chu wu ni er bu ran	27
出没无常	chu mo wu chang	7
击中要害	ji zhong yao hai	37
击楫中流	ji ji zhong liu	1
凿壁偷光	zao bi tou guang	20
刀光血影	dao guang xue ying	4
刀枪入库	dao qiang ru ku	8
刀枪剑戟	dao qiang jian ji	10
分内之事	fen nei zhi shi	17
分外妖娆	fen wai yao rao	9
分家析产	fen jia xi chan	8
分文不值	fen wen bu zhi	7
分文不取	fen wen bu qu	27
分文未取	fen wen wei qu	11
分毫不差	fen hao bu cha	32
分身无术	fen shen wu shu	8
切中时弊	qie zhong shi bi	36
切中要害	qie zhong yao hai	33
切磋琢磨	qie cuo zhuo mo	29
切齿痛恨	qie chi tong hen	14
创业维艰	chuang ye wei jian	4
创巨痛深	chuang ju tong shen	2
初生牛犊不怕虎	chu sheng niu du bu pa hu	23
初试锋芒	chu shi feng mang	2
判若云泥	pan ruo yun ni	3
判若霄壤	pan ruo xiao rang	1
刨根究底	pao gen jiu di	7
利害得失	li hai de shi	17
利害攸关	li hai you guan	7
利害相关	li hai xiang guan	14
利益均沾	li yi jun zhan	13
别出新意	bie chu xin yi	2
别无他物	bie wu ta wu	18
别有滋味	bie you zi wei	10
刺刀见红	ci dao jian hong	8
刻画入微	ke hua ru wei	6
刻骨仇恨	ke gu chou hen	9
削职为民	xue zhi wei min	39
前不着村后不着店	qian bu zhao cun hou bu zhao dian	26
前事不忘	qian shi bu wang	7
前事不忘后事之师	qian shi bu wang hou shi zhi shi	5
前人栽树	qian ren zai shu	7
前人栽树后人乘凉	qian ren zai shu hou ren cheng liang	8
前人种树后人乘凉	qian ren zhong shu hou ren cheng liang	1
前堵后追	qian du hou zhui	5
前怕狼后怕虎	qian pa lang hou pa hu	9
前无古人后无来者	qian wu gu ren hou wu lai zhe	37
前程万里	qian cheng wan li	19
前车可鉴	qian che ke jian	9
剑及履及	jian ji lv ji	4
剑胆琴心	jian dan qin xin	14
剥茧抽丝	bo jian chou si	2
劈风斩浪	pi feng zhan lang	6
力不能及	li bu neng ji	16
力不能支	li bu neng zhi	19
力所不及	li suo bu ji	16
力所不逮	li suo bu dai	1
