# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
刘毓崧	liu yu song	16
刘永治	liu yong zhi	15
刘永济	liu yong ji	27
刘永锡	liu yong xi	10
刘治中	liu zhi zhong	3
刘泰	liu tai	4
刘淼	liu miao	21
刘灼	liu zhuo	2
刘炜华	liu wei hua	3
刘熙载	liu xi zai	45
刘爵	liu jue	1
刘献廷	liu xian ting	23
刘玉新	liu yu xin	6
刘玉浦	liu yu pu	25
刘珊玲	liu shan ling	6
刘珏	liu jue	23
刘珝	liu xu	38
刘理	liu li	4
刘琬	liu wan	31
刘琰	liu yan	42
刘璘	liu lin	1
刘璞	liu pu	16
刘瓒	liu zan	32
刘畴西	liu chou xi	49
刘白羽	liu bai yu	49
刘磊	liu lei	34
刘积仁	liu ji ren	11
刘端阳	liu duan yang	3
刘素萍	liu su ping	9
刘纪鹏	liu ji peng	4
刘纯燕	liu chun yan	31
刘绍先	liu shao xian	34
刘绍南	liu shao nan	2
刘绍棠	liu shao tang	22
刘缵	liu zuan	47
刘致	liu zhi	4
刘艾	liu ai	4
刘节	liu jie	5
刘芳菲	liu fang fei	31
刘苌	liu chang	31
刘范	liu fan	4
刘菁	liu jing	23
刘蜕	liu tui	16
刘衎	liu kan	26
刘衡	liu heng	27
刘谌	liu chen	34
刘超	liu chao	12
刘辰翁	liu chen weng	23
刘达	liu da	7
刘迎建	liu ying jian	3
刘运生	liu yun sheng	11
刘道一	liu dao yi	37
刘鄂	liu e	1
刘醒龙	liu xing long	27
刘鋹	liu chang	5
刘锋	liu feng	36
刘锡玲	liu xi ling	4
刘锴	liu kai	33
刘长佑	liu chang you	37
刘隆	liu long	6
刘雨卿	liu yu qing	43
刘震东	liu zhen dong	29
刘青藜	liu qing li	6
刘青青	liu qing qing	2
刘静波	liu jing bo	1
刘静钰	liu jing yu	3
刘韧	liu ren	12
刘鸿声	liu hong sheng	5
刘鸿恩	liu hong en	4
刘鹏云	liu peng yun	4
刘麟瑞	liu lin rui	4
