# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
笔触	bi chu	503
笔记	bi ji	7022
笔记本	bi ji ben	3148
笔记本电脑	bi ji ben dian nao	774
笔译	bi yi	193
笔试	bi shi	1715
笔误	bi wu	243
笔调	bi diao	141
笔谈	bi tan	443
笔走龙蛇	bi zou long she	2
笔迹	bi ji	514
笔钱	bi qian	1265
笔锋	bi feng	152
笔顺	bi shun	192
笕	jian	251
笕桥	jian qiao	344
笙	sheng	3300
笙歌	sheng ge	352
笛	di	6488
笛卡儿积	di ka er ji	81
笛卡尔	di ka er	1271
笛子	di zi	935
笛膜	di mo	42
笞	chi	331
笠	li	6099
笠原	li yuan	540
笤	tiao	6
笤帚	tiao zhou	18
笥	si	183
符	fu	15420
符号	fu hao	22213
符号编码	fu hao bian ma	57
符号表	fu hao biao	125
符号链接	fu hao lian jie	160
符合	fu he	29944
符咒	fu zhou	495
符拉	fu la	901
符文	fu wen	621
符腾	fu teng	3
符腾堡	fu teng bao	1997
符腾堡州	fu teng bao zhou	3773
笨	ben	10207
笨伯	ben bo	29
笨头笨脑	ben tou ben nao	12
笨手笨脚	ben shou ben jiao	209
笨拙	ben zhuo	1074
笨死	ben si	217
笨活儿	ben huo er	2
笨蛋	ben dan	1216
笨重	ben zhong	750
笨鸟先飞	ben niao xian fei	61
笪	da	264
笫	zi	116
第	di	386464
第一	di yi	572435
第一个	di yi ge	58339
第一中学	di yi zhong xue	3262
第一产业	di yi chan ye	626
第一人称	di yi ren cheng	3588
第一医院	di yi yi yuan	632
第一名	di yi ming	12514
第一天	di yi tian	8166
第一夫人	di yi fu ren	1808
第一审	di yi shen	274
第一张	di yi zhang	9514
第一性	di yi xing	46
第一手	di yi shou	710
第一把手	di yi ba shou	31
第一时间	di yi shi jian	2977
第一次	di yi ci	95000
第一次见	di yi ci jian	496
第一步	di yi bu	2549
第一流	di yi liu	158
第一眼	di yi yan	2353
第一线	di yi xian	1741
第一财经	di yi cai jing	189
第一财经日报	di yi cai jing ri bao	81
第一轮	di yi lun	8247
第一阶段	di yi jie duan	5076
第一顺位继承人	di yi shun wei ji cheng ren	57
第七	di qi	32230
第七十	di qi shi	1873
第七名	di qi ming	1747
第七大道	di qi da dao	409
第七季	di qi ji	1259
第七届	di qi jie	7609
第七批	di qi pi	2566
第三	di san	143943
第三世界	di san shi jie	1045
第三中学	di san zhong xue	677
第三产业	di san chan ye	981
第三人称	di san ren cheng	1609
第三代	di san dai	7134
第三位	di san wei	3615
第三医院	di san yi yuan	213
第三十	di san shi	1649
第三十七	di san shi qi	924
第三十三	di san shi san	878
第三十九	di san shi jiu	955
第三十二	di san shi er	957
第三十五	di san shi wu	1086
第三十八	di san shi ba	1253
第三十六	di san shi liu	1039
第三十四	di san shi si	1015
第三季	di san ji	8809
第三届	di san jie	9754
第三方	di san fang	3994
第三方应用	di san fang ying yong	119
第三方支付	di san fang zhi fu	125
第三期	di san qi	2862
第三梯队	di san ti dui	84
第三波	di san bo	612
第三百	di san bai	309
第三级	di san ji	1473
第三者	di san zhe	1130
第三轮	di san lun	4049
第九	di jiu	18563
第九十	di jiu shi	959
第九名	di jiu ming	1166
第九届	di jiu jie	6811
第九集	di jiu ji	670
第二	di er	219307
第二个	di er ge	16013
第二中学	di er zhong xue	1440
第二产业	di er chan ye	651
第二人民医院	di er ren min yi yuan	146
第二人称	di er ren cheng	433
第二代	di er dai	10113
第二信使	di er xin shi	91
第二医院	di er yi yuan	387
第二十	di er shi	5439
第二十七	di er shi qi	1480
第二十三	di er shi san	1652
第二十九	di er shi jiu	1499
第二十二	di er shi er	1828
第二十五	di er shi wu	1887
第二十八	di er shi ba	1084
第二十六	di er shi liu	1643
第二十四	di er shi si	1619
第二十届	di er shi jie	1424
第二外国语学院	di er wai guo yu xue yuan	189
第二天	di er tian	13520
第二季	di er ji	16967
第二季第	di er ji di	539
第二层	di er ceng	1184
第二届	di er jie	11173
第二张	di er zhang	8779
第二张单	di er zhang dan	2
第二张图	di er zhang tu	240
第二性征	di er xing zheng	185
第二批	di er pi	4954
第二期	di er qi	5285
第二梯队	di er ti dui	221
第二次	di er ci	61328
第二百	di er bai	1676
第二章	di er zhang	1644
第二职业	di er zhi ye	109
第二课堂	di er ke tang	32
第二轮	di er lun	8956
第五	di wu	51311
第五十	di wu shi	1404
第五十七	di wu shi qi	489
第五十三	di wu shi san	493
第五十九	di wu shi jiu	451
第五十二	di wu shi er	713
第五十五	di wu shi wu	489
第五十八	di wu shi ba	493
第五十四	di wu shi si	695
第五名	di wu ming	3292
第五季	di wu ji	2795
第五届	di wu jie	8749
第五批	di wu pi	1769
第五章	di wu zhang	832
第八	di ba	24107
第八十	di ba shi	1164
第八名	di ba ming	1424
第八届	di ba jie	7122
第八批	di ba pi	1548
第八集	di ba ji	844
第六	di liu	36211
第六十	di liu shi	1563
第六十七	di liu shi qi	507
第六十五	di liu shi wu	449
第六十六	di liu shi liu	470
第六十四	di liu shi si	472
第六名	di liu ming	2230
第六季	di liu ji	1728
第六届	di liu jie	8129
第六感	di liu gan	789
第六批	di liu pi	2276
第六集	di liu ji	1098
第十	di shi	37751
第十七	di shi qi	3520
第十七届	di shi qi jie	1584
第十三	di shi san	6816
第十三届	di shi san jie	14633
第十九	di shi jiu	3352
第十九届	di shi jiu jie	1833
第十二	di shi er	8027
第十二届	di shi er jie	10253
第十五	di shi wu	4435
第十五届	di shi wu jie	1593
第十八	di shi ba	3682
第十八届	di shi ba jie	1793
第十六	di shi liu	3777
第十六届	di shi liu jie	1637
第十四	di shi si	6146
第十四届	di shi si jie	4036
第十届	di shi jie	7081
第十甫	di shi fu	67
第四	di si	79062
第四中学	di si zhong xue	510
第四人民医院	di si ren min yi yuan	111
第四位	di si wei	2058
第四十	di si shi	1986
第四十七	di si shi qi	674
第四十三	di si shi san	608
第四十九	di si shi jiu	677
第四十二	di si shi er	885
第四十五	di si shi wu	697
第四十八	di si shi ba	582
第四十六	di si shi liu	632
第四十四	di si shi si	678
第四名	di si ming	4889
第四届	di si jie	7861
第四批	di si pi	2541
第四期	di si qi	1585
第四轮	di si lun	1933
第戎	di rong	1067
第戎区	di rong qu	274
第聂	di nie	4
第聂伯	di nie bo	3295
笮	ze	51
笮	zuo	3
笮融	ze rong	119
笯	nu	7
笱	gou	35
笳	jia	167
笸	po	4
笸箩	po luo	4
笺	jian	1137
笺注	jian zhu	131
笼	long	17868
笼养	long yang	55
笼包	long bao	9
笼头	long tou	48
笼子	long zi	2301
笼屉	long ti	23
笼络	long luo	311
笼统	long tong	508
笼罩	long zhao	1226
笾	bian	29
筀	gui	1
筅	xian	97
筇	qiong	65
等	deng	1008333
等一下	deng yi xia	1161
等一下下	deng yi xia xia	13
等下	deng xia	4335
等不及	deng bu ji	1233
等了	deng le	6704
等于	deng yu	15344
等他	deng ta	3129
等价	deng jia	4018
等价交换	deng jia jiao huan	73
等价关系	deng jia guan xi	373
等价物	deng jia wu	85
等价类	deng jia lei	381
等份	deng fen	102
等会	deng hui	3645
等会儿	deng hui er	9
等会儿再说	deng hui er zai shuo	2000
等会儿说	deng hui er shuo	200
等会说	deng hui shuo	24
等位基因	deng wei ji yin	709
等你	deng ni	52788
等你回来	deng ni hui lai	184
等你来	deng ni lai	424
等候	deng hou	3832
等值	deng zhi	603
等分	deng fen	632
等到	deng dao	14491
等功	deng gong	837
等号	deng hao	732
等同	deng tong	6287
等回复	deng hui fu	52
等外	deng wai	192
等外品	deng wai pin	8
等奖	deng jiang	7279
等差	deng cha	120
等差数列	deng cha shu lie	319
等式	deng shi	2319
等待	deng dai	19796
等待时间	deng dai shi jian	286
等我	deng wo	41419
等我一下	deng wo yi xia	28
等我回去	deng wo hui qu	43
等我回来	deng wo hui lai	55
等效	deng xiao	1666
等次	deng ci	124
等比数列	deng bi shu lie	130
等温	deng wen	337
等着	deng zhe	31332
等着你	deng zhe ni	6210
等着我	deng zhe wo	3364
等等	deng deng	36318
等米下锅	deng mi xia guo	4
等级	deng ji	25009
等级制	deng ji zhi	104
等级考试	deng ji kao shi	111
等而下之	deng er xia zhi	4
等职	deng zhi	9590
等距	deng ju	719
等距离	deng ju li	70
等身	deng shen	275
等车	deng che	1104
等速	deng su	112
等量	deng liang	332
等量齐观	deng liang qi guan	25
等闲	deng xian	118
等闲视之	deng xian shi zhi	10
等额	deng e	221
筋	jin	4170
筋斗	jin dou	198
筋疲力尽	jin pi li jin	289
筋疲力竭	jin pi li jie	97
筋络	jin luo	8
筋脉	jin mai	47
筋膜	jin mo	241
筋膜炎	jin mo yan	71
筋道	jin dao	63
筋骨	jin gu	164
筋骨草	jin gu cao	82
筌	quan	171
筏	fa	754
筏子	fa zi	180
筐	kuang	568
筐子	kuang zi	33
筑	zhu	17988
筑城	zhu cheng	1448
筑堤	zhu di	286
筑巢引凤	zhu chao yin feng	2
筑摩	zhu mo	970
筑波	zhu bo	1971
筑路	zhu lu	759
筒	tong	9440
筒井康隆	tong jing kang long	145
筒子	tong zi	249
筒子楼	tong zi lou	36
筒瓦	tong wa	432
筒裙	tong qun	28
筒裤	tong ku	30
答	da	9567
答允	da yun	325
答卷	da juan	162
答复	da fu	2602
答对	da dui	2111
答应	da ying	12787
答数	da shu	31
答案	da an	12342
答疑	da yi	182
答礼	da li	26
答腊	da la	37
答言	da yan	18
答词	da ci	29
答话	da hua	34
答谢	da xie	887
答辩	da bian	4918
答辩会	da bian hui	14
答错	da cuo	669
答问	da wen	490
答非所问	da fei suo wen	694
答题	da ti	1657
策	ce	14038
策划	ce hua	12415
策动	ce dong	1377
策励	ce li	28
策勒	ce le	219
策反	ce fan	778
策尔	ce er	945
策展	ce zhan	1198
策应	ce ying	501
策源地	ce yuan di	85
策画	ce hua	928
策略	ce lve	15952
策问	ce wen	57
策马	ce ma	464
策骑	ce qi	3488
筘	kou	15
筚	bi	124
筚路蓝缕	bi lu lan lv	54
筛	shai	1924
筛分	shai fen	56
筛子	shai zi	182
筛查	shai cha	2355
筛检	shai jian	866
筛糠	shai kang	10
筛选	shai xuan	2143
筛选法	shai xuan fa	69
筜	dang	7
筝	zheng	946
筠	jun	161
筠	yun	3212
筠连	yun lian	240
筢	pa	11
筤	lang	4
筥	ju	79
筦	guan	55
筮	shi	174
筱	xiao	2776
筲	shao	39
筲箕	shao ji	2092
筵	yan	1287
筵宴	yan yan	50
筵席	yan xi	337
筶	gao	12
筷	kuai	458
筷子	kuai zi	3408
筹	chou	5080
筹借	chou jie	23
筹划	chou hua	2538
筹办	chou ban	2584
筹募	chou mu	680
筹商	chou shang	23
筹备	chou bei	12500
筹委会	chou wei hui	861
筹建	chou jian	4930
筹得	chou de	910
筹措	chou cuo	1318
筹款	chou kuan	3138
筹码	chou ma	1085
筹算	chou suan	99
筹组	chou zu	1974
筹谋	chou mou	67
筹资	chou zi	851
筹集	chou ji	2673
筻	gang	17
筼	yun	36
签	qian	19318
签下	qian xia	6641
签到	qian dao	2533
签到簿	qian dao bu	16
签单	qian dan	69
签卡	qian ka	8
签发	qian fa	3002
签名	qian ming	13885
签售	qian shou	1350
签售会	qian shou hui	550
签子	qian zi	119
签字	qian zi	2138
签字笔	qian zi bi	23
签押	qian ya	14
签收	qian shou	659
签注	qian zhu	595
签章	qian zhang	216
签筒	qian tong	35
签约	qian yue	17503
签署	qian shu	27526
签订	qian ding	21772
签证	qian zheng	13185
简	jian	25987
简书	jian shu	56
简介	jian jie	36098
简体	jian ti	1009
简体中文	jian ti zhong wen	2519
简体中文版	jian ti zhong wen ban	868
简体字	jian ti zi	1291
简便	jian bian	698
简写	jian xie	2598
简况	jian kuang	27
简化	jian hua	8556
简化字	jian hua zi	1103
简单	jian dan	49490
简单劳动	jian dan lao dong	6
简单化	jian dan hua	245
简单的	jian dan de	15659
简历	jian li	13578
简古	jian gu	14
简史	jian shi	1977
简图	jian tu	56
简大狮	jian da shi	83
简慢	jian man	4
简报	jian bao	1680
简括	jian kuo	14
简捷	jian jie	52
简政	jian zheng	143
简文帝	jian wen di	401
简明	jian ming	1068
简明扼要	jian ming e yao	76
简明教程	jian ming jiao cheng	72
简易	jian yi	7927
简本	jian ben	160
简朴	jian pu	742
简洁	jian jie	2451
简牍	jian du	304
简略	jian lve	836
简直	jian zhi	27470
简直了	jian zhi le	2793
简直是	jian zhi shi	3847
简省	jian sheng	17
简短	jian duan	2120
简码	jian ma	178
简称	jian cheng	60154
简章	jian zhang	203
简笔	jian bi	98
简约	jian yue	1463
简练	jian lian	227
简编	jian bian	159
简而言之	jian er yan zhi	372
简表	jian biao	168
简装	jian zhuang	82
简要	jian yao	890
简言之	jian yan zhi	238
简讯	jian xun	1377
简评	jian ping	38
简谱	jian pu	235
简述	jian shu	952
简阳市	jian yang shi	239
简陋	jian lou	1394
简雍	jian yong	69
箅	bi	22
箅子	bi zi	5
箍	gu	1195
箍儿	gu er	8
箐	qing	511
箓	lu	489
箔	bo	519
箕	ji	2902
箖	lin	2
算	suan	78082
算不算	suan bu suan	15
算了	suan le	19685
算了吧	suan le ba	2644
算什么	suan shen me	3297
算卦	suan gua	165
算命	suan ming	1691
算尺	suan chi	110
算式	suan shi	299
算数	suan shu	1679
算是	suan shi	14550
算术	suan shu	1901
算术平均数	suan shu ping jun shu	103
算术运算	suan shu yun suan	105
算术逻辑单元	suan shu luo ji dan yuan	64
算法	suan fa	12771
算法分析	suan fa fen xi	59
算法实现	suan fa shi xian	60
算盘	suan pan	582
算盘珠	suan pan zhu	17
算草	suan cao	15
算计	suan ji	747
算话	suan hua	414
算账	suan zhang	541
算贵	suan gui	257
箜	kong	13
箜篌	kong hou	128
管	guan	75786
管中窥豹	guan zhong kui bao	25
管乐	guan le	129
管乐	guan yue	1032
管乐器	guan yue qi	769
管乐队	guan yue dui	133
管事	guan shi	480
管仲	guan zhong	546
管住	guan zhu	625
管保	guan bao	3
管儿灯	guan er deng	1
管制	guan zhi	13339
管区	guan qu	2880
管城回族	guan cheng hui zu	144
管够	guan gou	533
管好	guan hao	1127
管委会	guan wei hui	1969
管子	guan zi	1008
管它	guan ta	544
管家	guan jia	3994
管家婆	guan jia po	52
管局	guan ju	1873
管庄	guan zhuang	85
管弦乐	guan xian yue	6072
管所	guan suo	318
管护	guan hu	107
管押	guan ya	15
管控	guan kong	4533
管教	guan jiao	981
管教所	guan jiao suo	118
管材	guan cai	81
管束	guan shu	368
管桦	guan hua	50
管段	guan duan	41
管治	guan zhi	3522
管片	guan pian	51
管状	guan zhuang	1020
管状花	guan zhuang hua	65
管理	guan li	179332
管理信息系统	guan li xin xi xi tong	69
管理公司	guan li gong si	1785
管理办法	guan li ban fa	970
管理员	guan li yuan	3857
管理员权限	guan li yuan quan xian	64
管理学院	guan li xue yuan	4263
管理层	guan li ceng	2689
管理工具	guan li gong ju	234
管理有限公司	guan li you xian gong si	1232
管理程序	guan li cheng xu	106
管理站	guan li zhan	428
管理类	guan li lei	184
管理系统	guan li xi tong	2277
管理经验	guan li jing yan	117
管理维护	guan li wei hu	176
管理软件	guan li ruan jian	227
管用	guan yong	3547
管界	guan jie	25
管窥	guan kui	45
管线	guan xian	1935
管螺	guan luo	568
管见	guan jian	111
管账	guan zhang	27
管辂	guan lu	108
管辖	guan xia	88314
管道	guan dao	7543
管闲事	guan xian shi	302
管领	guan ling	1191
管风琴	guan feng qin	1769
管饭	guan fan	424
管饱	guan bao	712
箢	yuan	6
箦	ze	154
箧	qie	326
箨	tuo	110
箩	luo	293
箩筐	luo kuang	230
箪	dan	190
箫	xiao	1240
箬	ruo	380
箬笠	ruo li	11
箭	jian	11513
箭在弦上	jian zai xian shang	43
箭头	jian tou	1921
箭楼	jian lou	404
箭步	jian bu	46
箭竹	jian zhu	408
箭镞	jian zu	97
箭靶子	jian ba zi	3
箱	xiang	20567
箱体	xiang ti	125
箱包	xiang bao	109
箱子	xiang zi	4449
箱底	xiang di	329
箱式	xiang shi	96
箱根	xiang gen	2361
箱笼	xiang long	9
箴	zhen	833
箴言	zhen yan	690
箸	zhu	345
篁	huang	467
篆	zhuan	970
篆书	zhuan shu	570
篆体	zhuan ti	148
篆刻	zhuan ke	794
篆刻家	zhuan ke jia	345
篆字	zhuan zi	88
篆文	zhuan wen	127
篇	pian	64681
篇幅	pian fu	1927
篇文	pian wen	179
篇目	pian mu	257
篇章	pian zhang	1841
篌	hou	10
篑	kui	39
篓	lou	255
篓子	lou zi	77
篙	gao	799
篙子	gao zi	1
篚	fei	19
篝	gou	171
篝火	gou huo	663
篡	cuan	897
篡位	cuan wei	1684
篡党夺权	cuan dang duo quan	51
篡夺	cuan duo	830
篡改	cuan gai	1115
篡权	cuan quan	124
篥	li	102
篦	bi	291
篦子	bi zi	40
篪	chi	488
篮	lan	4350
篮坛	lan tan	141
篮子	lan zi	1146
篮板	lan ban	5280
篮板球	lan ban qiu	332
篮球	lan qiu	66766
篮球场	lan qiu chang	2262
篮球队	lan qiu dui	8762
篮筐	lan kuang	198
篮网	lan wang	1860
篯	jian	112
篱	li	2077
篱笆	li ba	397
篷	peng	774
篷子	peng zi	5
篷布	peng bu	24
篷船	peng chuan	35
篷车	peng che	249
篼	dou	18
篾	mie	266
篾片	mie pian	15
篾篓	mie lou	1
簃	yi	272
簇	cu	2513
簇拥	cu yong	205
簇新	cu xin	35
簇生	cu sheng	295
簉	zao	2
簋	gui	670
簌	su	35
簌簌	su su	29
簏	lu	34
簕	le	272
簖	duan	11
簝	liao	6
簟	dian	36
簠	fu	79
簧	huang	1884
簪	zan	847
簪子	zan zi	106
簪花	zan hua	86
簰	pai	8
簸	bo	228
簸箕	bo ji	210
簸箩	bo luo	5
簸荡	bo dang	9
簿	bu	5541
簿册	bu ce	65
簿子	bu zi	22
簿籍	bu ji	40
簿记	bu ji	261
籀	zhou	188
籁	lai	269
籍	ji	38583
籍贯	ji guan	3906
籥	yue	67
米	mi	235118
米亚	mi ya	14431
米什	mi shen	1243
米仓凉子	mi cang liang zi	161
米仓千寻	mi cang qian xun	93
米克尔森	mi ke er sen	76
米兔	mi tu	600
米八	mi ba	1547
米兰	mi lan	16007
米切尔	mi qie er	1800
米利	mi li	2091
米利亚	mi li ya	548
米利安	mi li an	1614
米勒	mi le	6007
米勒德	mi le de	142
米哈伊洛维奇	mi ha yi luo wei qi	924
米处	mi chu	2521
米奇	mi qi	2595
米契	mi qi	697
米娜	mi na	2081
米宽	mi kuan	1077
米尔	mi er	21143
米尔斯	mi er si	1597
米尔顿	mi er dun	2839
米尺	mi chi	9
米尼	mi ni	2647
米尼克	mi ni ke	2050
米山	mi shan	294
米开朗基罗	mi kai lang ji luo	1042
米拉	mi la	5566
米易	mi yi	179
米林	mi lin	428
米格	mi ge	3077
米格尔	mi ge er	1915
米歇尔	mi xie er	4659
米汤	mi tang	160
米泽瑠美	mi ze liu mei	72
米皮	mi pi	208
米粉	mi fen	2652
米粉肉	mi fen rou	21
米粒	mi li	675
米粥	mi zhou	703
米粮川	mi liang chuan	18
米糕	mi gao	257
米糖	mi tang	55
米糠	mi kang	222
米纳	mi na	1165
米纳尔迪车队	mi na er di che dui	87
米纳斯	mi na si	2728
米线	mi xian	2050
米老鼠	mi lao shu	542
米耶	mi ye	1844
米色	mi se	631
米芾	mi fu	303
米莉	mi li	479
米袋子	mi dai zi	38
米讷	mi ne	562
米诺	mi nuo	1949
米豆腐	mi dou fu	110
米迦	mi jia	132
米迦勒	mi jia le	1206
米酒	mi jiu	986
米醋	mi cu	85
米露	mi lu	390
米面	mi mian	169
米饭	mi fan	5388
米黄	mi huang	38
籴	di	212
类	lei	140703
类乌齐	lei wu qi	206
类人猿	lei ren yuan	226
类似	lei si	74111
类函数	lei han shu	65
类别	lei bie	10807
类同	lei tong	445
类囊体	lei nang ti	92
类固醇	lei gu chun	1356
类固醇激素	lei gu chun ji su	99
类型	lei xing	55383
类型参数	lei xing can shu	103
类型安全	lei xing an quan	55
类型的	lei xing de	13856
类型系统	lei xing xi tong	127
类型论	lei xing lun	279
类型转换	lei xing zhuan huan	124
类定义	lei ding yi	84
类对象	lei dui xiang	81
类推	lei tui	1123
类文件	lei wen jian	62
类模板	lei mu ban	84
类比	lei bi	2923
类病毒	lei bing du	142
类目	lei mu	109
类群	lei qun	2328
类聚	lei ju	396
类风湿	lei feng shi	41
类风湿关节炎	lei feng shi guan jie yan	68
籼	xian	92
籼稻	xian dao	70
籼米	xian mi	41
籽	zi	3084
籽实	zi shi	22
籽棉	zi mian	4
籽粒	zi li	56
粉	fen	18328
粉丝	fen si	16759
粉刷	fen shua	444
粉刺	fen ci	85
粉剂	fen ji	47
粉团	fen tuan	63
粉坊	fen fang	7
粉墙	fen qiang	54
粉墨登场	fen mo deng chang	90
粉嫩	fen nen	17
粉尘	fen chen	542
粉岭	fen ling	3629
粉底	fen di	975
粉底液	fen di ye	680
粉彩	fen cai	299
粉扑儿	fen pu er	16
粉末	fen mo	2282
粉条	fen tiao	526
粉状	fen zhuang	329
粉白	fen bai	34
粉皮	fen pi	32
粉盒	fen he	82
粉碎	fen sui	3042
粉碎性	fen sui xing	31
粉碎性骨折	fen sui xing gu zhe	50
粉碎机	fen sui ji	73
粉笔	fen bi	300
粉红	fen hong	4660
粉红色	fen hong se	4709
粉肠	fen chang	129
粉色	fen se	6132
粉虱	fen shi	587
粉蝶	fen die	1741
粉蝶亚科	fen die ya ke	109
粉身碎骨	fen shen sui gu	107
粉雕玉琢	fen diao yu zhuo	1
粉饰	fen shi	304
粉饰太平	fen shi tai ping	58
粉饼	fen bing	383
粉黛	fen dai	46
粑	ba	7358
粑粑麻	ba ba ma	285
粑粑麻麻	ba ba ma ma	285
粑麻	ba ma	2
粑麻麻	ba ma ma	285
粒	li	12118
粒子	li zi	16241
粒子系统	li zi xi tong	110
粒度	li du	299
粒状	li zhuang	248
粒细胞	li xi bao	320
粕	po	572
粗	cu	17307
粗中有细	cu zhong you xi	19
粗人	cu ren	151
粗体	cu ti	3689
粗体字	cu ti zi	3504
粗俗	cu su	774
粗制滥造	cu zhi lan zao	180
粗加工	cu jia gong	36
粗劣	cu lie	130
粗卡	cu ka	418
粗厚	cu hou	64
粗口	cu kou	1047
粗哑	cu ya	13
粗坑	cu keng	210
粗壮	cu zhuang	1444
粗大	cu da	591
粗实	cu shi	5
粗布	cu bu	85
粗心	cu xin	442
粗心大意	cu xin da yi	187
粗手笨脚	cu shou ben jiao	1
粗拙	cu zhuo	2
粗放	cu fang	133
粗暴	cu bao	2552
粗来	cu lai	2417
粗枝大叶	cu zhi da ye	99
粗活儿	cu huo er	4
粗浅	cu qian	79
粗犷	cu guang	660
粗率	cu shuai	23
粗略	cu lve	1235
粗疏	cu shu	109
粗盐	cu yan	94
粗硬	cu ying	73
粗笨	cu ben	5
粗粝	cu li	16
粗粮	cu liang	438
粗糙	cu cao	3435
粗纺	cu fang	4
粗线	cu xian	483
粗线条	cu xian tiao	78
粗细	cu xi	497
粗腿	cu tui	987
粗花呢	cu hua ni	1
粗茶淡饭	cu cha dan fan	114
粗莽	cu mang	6
粗话	cu hua	334
粗通	cu tong	33
粗鄙	cu bi	175
粗重	cu zhong	84
粗野	cu ye	367
粗陋	cu lou	51
粗面	cu mian	431
粗饲料	cu si liao	7
粗鲁	cu lu	1150
粗黑	cu hei	165
粘	nian	379
粘	zhan	7578
粘人	nian ren	783
粘人	zhan ren	335
粘土	nian tu	1568
粘度	nian du	561
粘度计	nian du ji	75
粘着	nian zhuo	489
粘着	zhan zhuo	326
