# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一马当先	yi ma dang xian	111
一骨碌	yi gu lu	10
一鳞半爪	yi lin ban zhao	7
一鸣惊人	yi ming jing ren	360
一鼓作气	yi gu zuo qi	265
一鼻孔出气	yi bi kong chu qi	7
一齐	yi qi	1697
丁	ding	63121
丁	zheng	3156
丁丑	ding chou	532
丁丑科	ding chou ke	1655
丁丙	ding bing	51
丁丙诺啡	ding bing nuo fei	64
丁二酮	ding er tong	62
丁仪	ding yi	93
丁伟	ding wei	142
丁俊晖	ding jun hui	324
丁克	ding ke	328
丁卯	ding mao	1776
丁基橡胶	ding ji xiang jiao	59
丁堡	ding bao	39
丁夫人	ding fu ren	57
丁奉	ding feng	196
丁字形	ding zi xing	45
丁字街	ding zi jie	41
丁字路口	ding zi lu kou	93
丁宁	ding ning	397
丁宝桢	ding bao zhen	59
丁家桥	ding jia qiao	94
丁尼生	ding ni sheng	130
丁当	ding dang	381
丁忧	ding you	1598
丁惟汾	ding wei fen	111
丁敬	ding jing	108
丁文	ding wen	158
丁文江	ding wen jiang	154
丁日昌	ding ri chang	154
丁未	ding wei	650
丁未科	ding wei ke	1324
丁汉	ding han	69
丁汝昌	ding ru chang	261
丁泉	ding quan	8
丁点儿	ding dian er	8
丁父	ding fu	413
丁玲	ding ling	365
丁目	ding mu	17221
丁磊	ding lei	64
丁福保	ding fu bao	69
丁肇中	ding zhao zhong	108
丁裔	ding yi	713
丁西林	ding xi lin	59
丁酉	ding you	1846
丁酮	ding tong	115
丁酸	ding suan	682
丁零	ding ling	257
丁青	ding qing	109
丁香	ding xiang	1366
丁香花	ding xiang hua	135
七	qi	133078
七一	qi yi	1682
七七八八	qi qi ba ba	135
七上八下	qi shang ba xia	102
七世	qi shi	4578
七中	qi zhong	489
七二一	qi er yi	62
七八	qi ba	1890
七八十	qi ba shi	351
七八年	qi ba nian	317
七八点	qi ba dian	257
七匹狼	qi pi lang	70
七十	qi shi	6057
七十七	qi shi qi	505
七十三	qi shi san	575
七十九	qi shi jiu	383
七十二	qi shi er	2336
七十二行	qi shi er hang	27
七十五	qi shi wu	726
七十八	qi shi ba	289
七十六	qi shi liu	517
七十四	qi shi si	607
七厂	qi chang	64
七台河市	qi tai he shi	177
七号	qi hao	3442
七名	qi ming	2459
七名举	qi ming ju	548
七名举人	qi ming ju ren	273
七品	qi pin	1107
七嘴八舌	qi zui ba she	94
七堡	qi bao	121
七夕	qi xi	5569
七天无理由	qi tian wu li you	200
七季	qi ji	78
七宝	qi bao	1014
七宝镇	qi bao zhen	107
七家湾	qi jia wan	108
七尾	qi wei	993
七局	qi ju	506
七届	qi jie	1386
七岁	qi sui	1431
七巧板	qi qiao ban	113
七师	qi shi	526
七年	qi nian	22581
七年戊	qi nian wu	1
七弦琴	qi xian qin	68
七彩	qi cai	1434
七律	qi lv	222
七情六欲	qi qing liu yu	59
七手八脚	qi shou ba jiao	4
七扭八歪	qi niu ba wai	2
七批	qi pi	31
七折八扣	qi zhe ba kou	3
七拼八凑	qi pin ba cou	14
七星	qi xing	3348
七星关	qi xing guan	93
七星岗	qi xing gang	106
七星岩	qi xing yan	133
七月	qi yue	18617
七月份	qi yue fen	864
七濑	qi lai	919
七点	qi dian	4633
七点半	qi dian ban	1178
七百	qi bai	2419
七窍	qi qiao	52
七窍生烟	qi qiao sheng yan	17
七绝	qi jue	208
七老八十	qi lao ba shi	105
七莘路	qi xin lu	93
七言诗	qi yan shi	89
七里村	qi li cun	52
